vieillir;to age
équilibrer;to balance
censurer;to censor
exprimer;to voice
faire connaître;to air
mettre son véto;to veto
avoir accès à;to access
faire taire;to silence
accueillir;to host
présider;to chair
commercialiser;to market
influencer;to shape
l'économie mondiale;the global economy
une frontière;a border, a frontier
le commerce, les échanges;trade [treid]
l'Organisation Mondiale du Commerce, l'OMC;the World Trade Organization, the WTO
le libre-échange;free trade
un partisan du libre-échange;a free trader
l’économie de marché;the free market, free-market economy
un partisan du libéralisme;a free-marketeer
le libéralisme;liberalism
la déréglementation;deregulation [di:'regjuleiʃən]
une zone de libre-échange;a free trade area
un partenaire commercial;a trading partner
un excédent / déficit commercial;a trade surplus / deficit
un exportateur / un importateur;an exporter / an importer
un pays exportateur d'énergie;an energy-exporting country
le taux de change;the exchange rate
s'emparer d'un marché;to corner, capture a market
mesures protectionistes;protectionist measures
les tarifs douaniers, les droits de douanes;tariffs ['tærifs]
les droits de douane;customs duties
les barrières douanières;trade barriers
les barrières tarifaires / non-tarifaires;tariff barriers / non-tariff barriers
abaisser / supprimer les barrières douanières;to lower / remove trade barriers
le Tiers-Monde;the Third World
un pays émergent;an emerging country
les PMA, les pays les moins avancés;LDCs, least developed countries
un pays émergent, une économie émergente;an emerging economy
le commerce équitable;fair trade
les délocalisations;outsourcing, offshoring, relocating
délocaliser des emplois;to outsource, relocate jobs
le travail des enfants;child labour [tʃaɪld 'leɪbə]
les normes en matière d'emploi / d'environnement;labour / environmental standards
les coûts de production / salariaux;production / wage costs
la concurrence;competition
un concurrent;a competitor
compétitif;competitive
la compétitivité;competitiveness
être à la traîne;to lag behind
l'américanisation;Americanization
l'occidentalisation;Westernization
l'uniformisation;standardization
l'exception culturelle;cultural exception, cultural exemption
un militant anti-mondialiste;an antiglobalization activist, protester, an antiglobalist
l'altermondialisme;alter-globalization
la démondialisation;deglobalization
