contradictoire;contradictory
obligatoire;compulsory
satisfaisant;satisfactory
réactionnaire;reactionary
révolutionnaire;revolutionary
convaincant;convincing
prometteur;promising
disproportionné;disproportionate
légitime;legitimate
déterminé;determined
talentueux;talented
significatif;significant
indigné;indignant
corrompu;corrupt
serein;serene
paranoïaque;paranoid
le combustible OU le carburant;fuel [fjuəl]
les réserves de pétrole;oil supplies, oil reserves [rɪˈzɜːvz]
s'épuiser;to run out, become depleted
la pénurie d'énergie;the energy gap, the energy shortage [ˈʃɔːtɪdʒ]
les besoins en énergie;energy needs, energy requirements
les hydrocarbures;hydrocarbons
les énergies fossiles;fossil fuels [ˈfɒsl ˈfjuəlz]
le pétrole;oil, petroleum
le gaz;gas [ɡæs]
le charbon;coal [kəʊl]
les schistes bitumineux;oil shale [ʃeɪl]
l'huile / le gaz de schiste;shale oil / gas
les sables bitumineux;tar sands
l'hydrofracturation;fracking
une plateforme pétrolière;an oil rig, an oil platform
un pays producteur / exportateur de pétrole;an oil producing / oil exporting country
une crise pétrolière, un choc pétrolier;an oil crisis, an oil shock
une centrale électrique, thermique;a power station, a power plant
produire de l'électricité;to generate electricity
une raffinerie de pétrole;an oil refinery [rɪˈfaɪnəri]
les dérivés du pétrole;oil products
l'essence;petrol (GB), gas (US)
l'énergie;energy
les sources d'énergie renouvelable;renewable energy sources, renewables
l'énergie éolienne / solaire;wind power / solar [ˈsəʊlər] power
une éolienne;a windmill, a windpump
une éolienne (turbine);a wind turbine [ˈtɜːbaɪn]
un parc d'éoliennes, un parc éolien, une ferme éolienne, un champ d'éoliennes;a windfarm
une cellule solaire;a solar cell
une cellule photovoltaïque, une photopile;a photovoltaic cell
un panneau solaire;a solar panel [ˈpænəl]
les bio-carburants, les agro-carburants;biofuels [ˈbaɪəʊˌfjuəlz]
huile de palme;palm oil [pɑːm ɔɪl]
l'énergie nucléaire;nuclear power, nuclear energy
l'enrichissement de l'uranium;uranium [jʊəˈreɪniəm] enrichment
un (réacteur) surgénérateur;a fast breeder (reactor)
une centrale nucléaire;a nuclear plant
des installations nucléaires;nuclear facilities [fəˈsɪlɪtiz]
se convertir au nucléaire;to go nuclear
sortir du nucléaire;to abandon, phase out nuclear energy
les déchets nucléaires;nuclear waste
éliminer les déchets nucléaires;to dispose of nuclear waste
l'élimination des déchets nucléaires;nuclear waste disposal
fusion (du cœur d'un réacteur nucléaire);meltdown
les retombées radioactives;nuclear fallout [ˈfɔːlaʊt]
l'hydroélectricité;hydroelectricity, hydropower
l'énergie marémotrice, la houille bleue;tidal [ˈtaɪdl] energy, tidal power
une usine marémotrice;a tidal power station
une hydrolienne;a tidal turbine, a marine turbine
une voiture électrique;a battery-powered car, an electric car
