Front;Back;
Quelle proportion de livres interdits traitent de violence et d'abus physiques ?;Environ la moitié (almost half);
Quelle proportion de livres interdits abordent le deuil et la mort, ou la race et le racisme ?;Un tiers (a third);
Quelle proportion de livres interdits mentionnent les questions LGBTQ+ ou le sexe ?;Un quart (one in four);
Dans quels deux États américains le plus de livres sont-ils interdits ?;Florida et Texas;
Combien d'heures par jour la zone ULEZ de Londres est-elle en opération ?;24 heures par jour, 7 jours par semaine, tous les jours sauf le 25 décembre;
Quel est le tarif journalier ULEZ pour les véhicules non conformes aux normes d'émissions ?;£12.50;
Combien d'emplois Amazon affirmait-il apporter avec son HQ2 ?;50,000 emplois (potentiellement jusqu'à 5 fois ce nombre);
Combien de candidatures ont été soumises pour accueillir l'HQ2 d'Amazon ?;Près de 240 candidatures;
Combien de finalistes y avait-il dans la compétition pour l'HQ2 ?;20 finalistes;
Quelle offre financière Philadelphie a-t-elle proposée à Amazon ?;$1 milliard en réductions d'impôts;
Où se trouve le premier siège social d'Amazon ?;Seattle;
Quelle offre financière Arlington, VA a-t-elle proposée à Amazon ?;$573 millions;
Quelle offre financière Long Island City, NY a-t-elle proposée ?;$1.5 milliard en subventions corporatives;
Combien d'emplois auraient été perdus suite à l'annulation du projet HQ2 à New York ?;25,000 emplois;
Entre quelles deux villes l'HQ2 d'Amazon a-t-il finalement été partagé ?;Arlington, VA et Nashville, TN;
Quel pourcentage des centres de données mondiaux se trouve en Virginie ?;13% des centres de données mondiaux;
Combien y a-t-il d'armes à feu aux États-Unis ?;Environ 400 millions d'armes;
Combien de décès par armes à feu se produisent chaque année aux États-Unis ?;Environ 40,000 décès par an (dont la moitié sont des suicides);
Quelle est la principale cause de décès chez les enfants et adolescents américains ?;La violence par armes à feu;
Depuis quelle année Columbus Day est-il un jour férié fédéral ?;Depuis 1971;
En octobre 2024, quels jours fériés le président Biden a-t-il reconnus ?;Columbus Day et Indigenous Peoples Day;
Quelle a été la position du président Trump en octobre 2025 sur Indigenous Peoples Day ?;Il a rejeté l'idée d'Indigenous Peoples Day;
