profondeur;depth (deep);
longueur;length (long);
force;strength (strong);
largeur (breadth);breadth (broad);
largeur (width);width (wide);
mort;death (dead);
vérité;truth (true);
jeunesse;youth (young);
chaleur;warmth (warm);
santé;health (healthy);
richesse;wealth (wealthy);
intéressant;interesting;
intéressé;interested;
fatigant;tiring;
fatigué;tired;
épuisant;exhausting;
épuisé;exhausted;
décevant;disappointing;
déçu;disappointed;
gênant;embarrassing;
gêné;embarrassed;
effrayant;frightening;
effrayé;frightened;
émouvant;moving;
ému;moved;
inquiétant;worrying;
inquiet;worried;
stupéfiant;amazing;
stupéfait;amazed;
intriguant;puzzling;
intrigué;puzzled;
ennuyeux;boring;
qui s'ennuie;bored;
énervant;annoying;
énervé;annoyed;
convaincu;convinced;
déroutant;bewildering;
perplexe;bewildered;
pénible;distressing;
peiné, affligé;distressed;
une entreprise;a firm, a company, a business;
petites et moyennes entreprises, PME;small and medium-sized businesses;
entreprise, (grosse) société;a corporation;
image de l’entreprise, image de marque;corporate image;
mécénat d’entreprise;corporate sponsorship;
monter dans la hiérarchie de l’entreprise;to move up the corporate ladder;
faire des bénéfices;to make profits;
rentable;profitable;
compétitif;competitive;
compétitivité;competitiveness;
investir;to invest;
investissement;investment;
un investisseur;an investor;
capital-risque;venture capital;
faire / être en faillite;to go / be bankrupt;
faillite;bankruptcy;
la bourse (des valeurs);the stock market;
une société cotée en bourse;a listed company;
une société à responsabilité limitée, SARL;a public limited company, plc;
un entrepreneur;an entrepreneur;
l’esprit d’entreprise;entrepreneurship;
comptabilité;accounting, accountancy;
action revendicative, grève;industrial action;
direction (de l’entreprise);management;
un syndicat;a trade union;
relations patronat-syndicat;industrial relations;
se mettre / être en grève;to go / be on strike;
impôt sur les sociétés;corporate tax;
une offre publique d’achat;a takeover bid;
une fusion;a merger;
gérer une entreprise;to manage, run a business;
réduire les effectifs, dégraisser;to downsize;
rationaliser;to streamline;
une action;a share;
un actionnaire;a shareholder;
subvention;subsidy;
subventionner;to subsidize;
(se) développer;to expand, to grow;
une marge bénéficiaire;a profit margin;
