Définition : limite à gauche en \(a\) (cas \(\ell \in \mathbb{R}\));Soit \(f : I \to \mathbb{R}\), \(a\) élément ou extrémité de \(I\), \(\ell \in \overline{\mathbb{R}}\). On dit que \(f\) admet \(\ell\) comme limite à gauche en \(a\) si la restriction de \(f\) à \(]-\infty,a[ \cap I\) admet \(\ell\) pour limite en \(a\). Dans le cas \(\ell \in \mathbb{R}\), cela équivaut à : \(\forall \varepsilon > 0,\ \exists \eta > 0,\ \forall x \in I \cap [a-\eta,a[,\ |f(x)-\ell| \le \varepsilon\).
Définition : limite à gauche en \(a\) vers \(+\infty\);Soit \(f : I \to \mathbb{R}\), \(a\) élément ou extrémité de \(I\). On dit que \(f\) admet \(+\infty\) comme limite à gauche en \(a\) si \(\forall A \in \mathbb{R},\ \exists \eta>0,\ \forall x \in I \cap [a-\eta,a[,\ f(x) > A\).
Définition : limite à gauche en \(a\) vers \(-\infty\);Soit \(f : I \to \mathbb{R}\), \(a\) élément ou extrémité de \(I\). On dit que \(f\) admet \(-\infty\) comme limite à gauche en \(a\) si \(\forall A \in \mathbb{R},\ \exists \eta>0,\ \forall x \in I \cap [a-\eta,a[,\ f(x) < A\).
Définition : limite à droite en \(a\);Les définitions de limite à droite en \(a\) sont analogues à celles de limite à gauche, en remplaçant l'intervalle \(]a-\eta,a[\) par \(]a,a+\eta[\) et la restriction de \(f\) à \(]-\infty,a[ \cap I\) par la restriction de \(f\) à \(]a,+\infty[ \cap I\).
Définition : limite en \(a\) quand \(f\) n’est pas définie en \(a\);Soit \(a \in I\) qui n’est pas une extrémité de \(I\), et \(f : I \setminus \{a\} \to \mathbb{R}\). On dit que \(f\) admet \(\ell\) pour limite en \(a\) si et seulement si \(\lim_{x \to a^-} f(x) = \lim_{x \to a^+} f(x) = \ell\).
Proposition : unicité de la limite;Si \(f\) admet \(\ell\) et \(\ell'\) pour limites en \(a\), alors \(\ell = \ell'\).
Proposition : limite finie implique bornitude locale;Soit \(f : I \to \mathbb{R}\). Si \(f\) admet une limite finie en \(a\), alors \(f\) est bornée au voisinage de \(a\).
Proposition : limite finie strictement positive;Soit \(f : I \to \mathbb{R}\) qui admet une limite finie \(\ell > 0\) en \(a\). Alors \(f\) est minorée au voisinage de \(a\) par \(\ell/2\), en particulier \(f\) est strictement positive au voisinage de \(a\).
Proposition : domination par une fonction tendant vers \(0\);Si \(|f(x)| \le g(x)\) au voisinage de \(a\) et si \(\lim_{x \to a} g(x) = 0\), alors \(\lim_{x \to a} f(x) = 0\).
Proposition : passage à la limite le long d’une suite;Soient \(f : I \to \mathbb{R}\) et \(\ell \in \overline{\mathbb{R}}\). Si \(f(x) \xrightarrow[x \to a]{} \ell\) et si \((u_n)_{n \in \mathbb{N}}\) est une suite réelle à valeurs dans \(I\) telle que \(u_n \xrightarrow[n \to \infty]{} a\), alors \(f(u_n) \xrightarrow[n \to \infty]{} \ell\).
Proposition : caractérisation de la limite par la valeur absolue;Soit \(f : I \to \mathbb{R}\) et \(\ell \in \mathbb{R}\). On a \(f(x) \xrightarrow[x \to a]{} \ell \iff |f(x)-\ell| \xrightarrow[x \to a]{} 0\). En particulier, \(f(x) \xrightarrow[x \to a]{} 0 \iff |f(x)| \xrightarrow[x \to a]{} 0\).
Proposition : limite et valeur absolue;Soit \(f : I \to \mathbb{R}\) et \(\ell \in \mathbb{R}\). Si \(f(x) \xrightarrow[x \to a]{} \ell\), alors \(|f(x)| \xrightarrow[x \to a]{} |\ell|\).
Proposition : produit d’une fonction tendant vers \(0\) par une bornée;Soient \(f,g : I \to \mathbb{R}\). Si \(f(x) \xrightarrow[x \to a]{} 0\) et si \(g\) est bornée au voisinage de \(a\), alors \(f(x)g(x) \xrightarrow[x \to a]{} 0\).
Proposition : combinaison linéaire de limites;Soient \(f,g : I \to \mathbb{R}\) et \((\ell,\ell') \in \overline{\mathbb{R}}^2\). Si \(\lim_{x \to a} f(x) = \ell\), \(\lim_{x \to a} g(x) = \ell'\) et \(\lambda \in \mathbb{R}\), alors \(\lambda f(x) \xrightarrow[x \to a]{} \lambda \ell\).
Proposition : limite d’une somme;Soient \(f,g : I \to \mathbb{R}\) et \((\ell,\ell') \in \overline{\mathbb{R}}^2\). Si \(\lim_{x \to a} f(x) = \ell\) et \(\lim_{x \to a} g(x) = \ell'\) et si \(\ell + \ell'\) existe dans \(\overline{\mathbb{R}}\), alors \((f+g)(x) \xrightarrow[x \to a]{} \ell + \ell'\) (sauf formes indéterminées de type \(\infty - \infty\)).
Proposition : limite d’un produit;Soient \(f,g : I \to \mathbb{R}\) et \((\ell,\ell') \in \overline{\mathbb{R}}^2\). Si \(\lim_{x \to a} f(x) = \ell\) et \(\lim_{x \to a} g(x) = \ell'\) et si \(\ell \ell'\) existe dans \(\overline{\mathbb{R}}\), alors \((fg)(x) \xrightarrow[x \to a]{} \ell \ell'\) (sauf formes indéterminées de type \(0 \times \infty\)).
Proposition : limite de l’inverse (cas \(\ell \neq 0\));Soit \(f : I \to \mathbb{R}\) telle que \(\lim_{x \to a} f(x) = \ell \in \mathbb{R}^*\). Alors \(f\) ne s’annule pas au voisinage de \(a\) et \(\lim_{x \to a} \frac{1}{f(x)} = \frac{1}{\ell}\).
Proposition : limite de l’inverse quand \(\ell = 0\) et \(f>0\);Si \(\lim_{x \to a} f(x) = 0\) et si au voisinage de \(a\) on a \(f(x) > 0\), alors \(\lim_{x \to a} \frac{1}{f(x)} = +\infty\).
Proposition : limite de l’inverse quand \(\ell = 0\) et \(f<0\);Si \(\lim_{x \to a} f(x) = 0\) et si au voisinage de \(a\) on a \(f(x) < 0\), alors \(\lim_{x \to a} \frac{1}{f(x)} = -\infty\).
Proposition : limite d’une composée;Soient \(f : I \to \mathbb{R}\) et \(g : J \to \mathbb{R}\) avec \(f(I) \subset J\), \(\ell,\ell' \in \overline{\mathbb{R}}\). Soient \(a\) élément ou extrémité de \(I\) et \(b\) élément ou extrémité de \(J\). Si \(f(x) \xrightarrow[x \to a]{} b\) et \(g(X) \xrightarrow[X \to b]{} \ell\), alors \((g \circ f)(x) \xrightarrow[x \to a]{} \ell\).
Proposition : passage à la limite et inégalités locales;Soient \(f,g : I \to \mathbb{R}\) et \(\ell,\ell'\) des réels. Si \(f(x) \xrightarrow[x \to a]{} \ell\) et \(g(x) \xrightarrow[x \to a]{} \ell'\) alors : si au voisinage de \(a\) on a \(f(x) \ge 0\), alors \(\ell \ge 0\); si au voisinage de \(a\) on a \(f(x) \le g(x)\), alors \(\ell \le \ell'\).
Théorème : théorème d’encadrement (théorème des gendarmes);Soient \(f,g,h : I \to \mathbb{R}\). On suppose qu’au voisinage de \(a\) on a \(g(x) \le f(x) \le h(x)\) et que \(g(x) \xrightarrow[x \to a]{} \ell\) et \(h(x) \xrightarrow[x \to a]{} \ell\) avec \(\ell \in \mathbb{R}\). Alors \(f(x) \xrightarrow[x \to a]{} \ell\).
Théorème : comparaison des limites infinies (cas \(f \le g\));Soient \(f,g : I \to \mathbb{R}\). On suppose qu’au voisinage de \(a\) on a \(f(x) \le g(x)\). Si \(f(x) \xrightarrow[x \to a]{} +\infty\), alors \(g(x) \xrightarrow[x \to a]{} +\infty\).
Théorème : comparaison des limites infinies (cas \(f \le g\) et \(-\infty\));Soient \(f,g : I \to \mathbb{R}\). On suppose qu’au voisinage de \(a\) on a \(f(x) \le g(x)\). Si \(g(x) \xrightarrow[x \to a]{} -\infty\), alors \(f(x) \xrightarrow[x \to a]{} -\infty\).
Théorème : limite en un bord pour fonction croissante (majorée);Soient \((a,b) \in \overline{\mathbb{R}}^2\) avec \(a < b\) et \(I = ]a,b[\) ou \(I = [a,b[\). Soit \(f : I \to \mathbb{R}\) croissante sur \(I\). Si \(f\) est majorée sur \(I\), alors \(f\) admet une limite finie en \(b\) et \(\lim_{x \to b} f(x) = \sup_I f\).
Théorème : limite en un bord pour fonction croissante (non majorée);Dans le cadre précédent (\(I = ]a,b[\) ou \([a,b[\) et \(f\) croissante), si \(f\) n’est pas majorée sur \(I\), alors \(f(x) \xrightarrow[x \to b]{} +\infty\).
Théorème : limite en un bord gauche pour fonction croissante (minorée);Soient \((a,b) \in \overline{\mathbb{R}}^2\) avec \(a < b\) et \(I = ]a,b[\) ou \(I = ]a,b]\). Soit \(f : I \to \mathbb{R}\) croissante sur \(I\). Si \(f\) est minorée sur \(I\), alors \(f\) admet une limite finie en \(a\) et \(\lim_{x \to a} f(x) = \inf_I f\).
Théorème : limite en un bord gauche pour fonction croissante (non minorée);Dans le cadre précédent (\(I = ]a,b[\) ou \(]a,b]\) et \(f\) croissante), si \(f\) n’est pas minorée sur \(I\), alors \(f(x) \xrightarrow[x \to a]{} -\infty\).
Définition : continuité en un point;Soit \(I\) un intervalle de \(\mathbb{R}\), \(a \in I\) et \(f : I \to \mathbb{R}\). On dit que \(f\) est continue en \(a\) si \(\forall \varepsilon > 0,\ \exists \eta > 0,\ \forall x \in I,\ |x-a| \le \eta \Rightarrow |f(x)-f(a)| \le \varepsilon\). Autrement dit, \(f\) est continue en \(a\) si et seulement si \(\lim_{x \to a} f(x) = f(a)\).
Définition : continuité sur un intervalle;Soit \(I\) un intervalle de \(\mathbb{R}\), \(f : I \to \mathbb{R}\). On dit que \(f\) est continue sur \(I\) si elle est continue en tout point de \(I\). L’ensemble des fonctions continues de \(I\) dans \(\mathbb{R}\) est noté \(\mathcal{C}(I,\mathbb{R})\) ou \(\mathcal{C}^0(I,\mathbb{R})\).
Définition : continuité à droite en \(a\);Soit \(f : I \to \mathbb{R}\), \(a \in I\) qui n’est pas l’extrémité droite de \(I\). On dit que \(f\) est continue à droite en \(a\) si \(\lim_{x \to a^+} f(x) = f(a)\), ce qui revient à dire que la restriction de \(f\) à \([a,+\infty[ \cap I\) est continue en \(a\).
Définition : continuité à gauche en \(a\);De manière analogue, \(f\) est continue à gauche en \(a\) si \(\lim_{x \to a^-} f(x) = f(a)\), ce qui revient à dire que la restriction de \(f\) à \(]-\infty,a] \cap I\) est continue en \(a\).
Proposition : continuité en \(a\) et continuités unilatérales;Soit \(f : I \to \mathbb{R}\) et \(a \in I\) qui n’est pas une extrémité de \(I\). Alors \(f\) est continue en \(a\) si et seulement si \(f\) est continue à droite et à gauche en \(a\), c’est-à-dire \(\lim_{x \to a^+} f(x) = \lim_{x \to a^-} f(x) = f(a)\).
Définition : prolongeabilité par continuité;On dit que \(f : I \setminus \{a\} \to \mathbb{R}\) est prolongeable par continuité en \(a\) si \(f\) a une limite finie \(\ell\) en \(a\). Dans ce cas, l’unique prolongement sur \(I\) qui soit continu en \(a\) est \(\tilde{f} : I \to \mathbb{R}\) définie par \(\tilde{f}(x) = f(x)\) si \(x \neq a\) et \(\tilde{f}(a) = \ell\).
Proposition : stabilité de la continuité par opérations usuelles;Soient \(f,g : I \to \mathbb{R}\) continues en \(a\) (respectivement sur \(I\)). Alors pour tout \(\lambda \in \mathbb{R}\), \(\lambda f\), \(f+g\), \(fg\) et \(|f|\) sont continues en \(a\) (respectivement sur \(I\)).
Proposition : continuité de l’inverse d’une fonction continue non nulle;Soit \(f : I \to \mathbb{R}\) continue en \(a\) (respectivement sur \(I\)). Si \(f(a) \neq 0\) (respectivement si \(f\) ne s’annule pas sur \(I\)), alors \(\frac{1}{f}\) est définie au voisinage de \(a\) (respectivement sur \(I\)) et est continue en \(a\) (respectivement sur \(I\)).
Proposition : continuité d’une composée;Soient \(f : I \to \mathbb{R}\) et \(g : J \to \mathbb{R}\) avec \(f(I) \subset J\). Si \(f\) est continue en \(a \in I\) et \(g\) continue en \(f(a)\), alors \(g \circ f\) est continue en \(a\). Si \(f\) est continue sur \(I\) et \(g\) continue sur \(J\), alors \(g \circ f\) est continue sur \(I\).
Proposition : caractérisation séquentielle de la continuité;Soit \(f : I \to \mathbb{R}\) continue en \(a \in I\). Pour toute suite \((u_n)_{n \in \mathbb{N}}\) à valeurs dans \(I\) qui converge vers \(a\), on a \(f(u_n) \xrightarrow[n \to \infty]{} f(a)\).
Théorème : théorème des valeurs intermédiaires (TVI);Si \(f : [a,b] \to \mathbb{R}\) est continue, alors \(f\) prend toute valeur comprise entre \(f(a)\) et \(f(b)\). Plus précisément, si \(f(a) \le f(b)\), pour tout \(c \in [f(a),f(b)]\) il existe \(x_0 \in [a,b]\) tel que \(f(x_0) = c\); si \(f(a) > f(b)\), pour tout \(c \in [f(b),f(a)]\) il existe \(x_0 \in [a,b]\) tel que \(f(x_0) = c\).
Corollaire du TVI : image d’un intervalle;Si \(I\) est un intervalle et \(f : I \to \mathbb{R}\) est continue, alors \(f(I)\) est un intervalle. Autrement dit, l’image d’un intervalle par une fonction continue est un intervalle.
Théorème : théorème de la bijection;Soit \(I\) un intervalle et \(f : I \to \mathbb{R}\) une fonction continue et strictement monotone. Alors \(f\) définit une bijection de \(I\) sur l’intervalle \(f(I)\) et la réciproque \(f^{-1} : f(I) \to I\) est continue et de même stricte monotonie que \(f\).
Théorème : borne et extremums sur un segment;Soit \(f : [a,b] \to \mathbb{R}\) une fonction continue. Alors \(f\) est bornée sur \([a,b]\) et elle atteint ses bornes. Autrement dit, il existe \((m,M) \in \mathbb{R}^2\) tels que \(\forall x \in [a,b],\ m \le f(x) \le M\) et il existe \((x_0,x_1) \in [a,b]^2\) tels que \(f(x_0) = \inf_{[a,b]} f\) et \(f(x_1) = \sup_{[a,b]} f\).
Définition : limite complexe en un point réel;Soit \(f : I \to \mathbb{C}\), \(\ell \in \mathbb{C}\) et \(a\) élément ou extrémité de \(I\). On dit que \(f\) admet \(\ell\) pour limite en \(a\) si : cas \(a \in \mathbb{R}\) : \(\forall \varepsilon > 0,\ \exists \eta > 0,\ \forall x \in I,\ |x-a| \le \eta \Rightarrow |f(x)-\ell| \le \varepsilon\); cas \(a = +\infty\) : \(\forall \varepsilon > 0,\ \exists A \in \mathbb{R},\ \forall x \in I,\ x \ge A \Rightarrow |f(x)-\ell| \le \varepsilon\); cas \(a = -\infty\) : \(\forall \varepsilon > 0,\ \exists B \in \mathbb{R},\ \forall x \in I,\ x \le B \Rightarrow |f(x)-\ell| \le \varepsilon\).
Proposition : limite complexe via partie réelle et imaginaire;Soit \(f : I \to \mathbb{C}\) et \(\ell \in \mathbb{C}\), \(a\) élément ou extrémité de \(I\). La fonction \(f\) a pour limite \(\ell\) en \(a\) si et seulement si \(\mathrm{Re}(f)\) et \(\mathrm{Im}(f)\) ont pour limites respectives \(\mathrm{Re}(\ell)\) et \(\mathrm{Im}(\ell)\) en \(a\).
Corollaire : continuité complexe via parties réelle et imaginaire;On suppose \(a \in I\). La fonction \(f : I \to \mathbb{C}\) est continue en \(a\) (respectivement sur \(I\)) si et seulement si \(\mathrm{Re}(f)\) et \(\mathrm{Im}(f)\) sont continues en \(a\) (respectivement sur \(I\)).
Proposition : limite finie complexe implique bornitude locale;Si \(f : I \to \mathbb{C}\) admet une limite finie en \(a\) (en particulier si \(f\) est continue en \(a\)), alors \(f\) est bornée au voisinage de \(a\).
